Model,Train R² (mean),Train RMSE (mean),Test R² (mean),Test RMSE (mean)
ekc,0.869255074950455,0.24632697383494223,0.8657638242838964,0.22984111338762778
svr,0.9680476205042668,0.11886116915986411,0.9644929979554456,0.11652651232263818
knn,0.9953937710883206,0.02571999134212756,0.9675986085116888,0.1161440432490463
dt,0.9818685010610927,0.08316806711408067,0.9436712159867132,0.15439020375083276
xgb,0.9966822696649809,0.03931813856403182,0.9612622357273453,0.1263086055547984
cat,0.9951309158570396,0.04717811537133497,0.9686145793911343,0.11133742436296949
rf,0.9836890537592063,0.08556134063400486,0.9643157999003611,0.12131483922986092
ann,0.9775693832339417,0.10529473758864909,0.9667367449727953,0.11984644821339542
lstm,0.9666449606133637,0.1296583510087229,0.9574317461867801,0.13106667781828613
